Transaction_ID,Investor_ID,Stock_ID,Date_ID,Buy_Price,Current_Price,Quantity,Investment_Amount,Current_Value,Profit_Loss
1,INV0058,6,20240219,302.0,761.0,18.0,5436,13698,8262
2,INV0126,8,20241005,1114.0,956.0,48.0,53472,45888,-7584
3,INV0053,9,20240517,2971.0,3429.0,35.0,103985,120015,16030
4,INV0045,12,20240811,2618.0,2750.0,3.0,7854,8250,396
5,INV0016,11,20240717,583.0,506.0,15.0,8745,7590,-1155
6,INV0259,13,20240123,2665.0,2392.0,36.0,95940,86112,-9828
7,INV0102,18,20240626,3132.0,3497.0,45.0,140940,157365,16425
8,INV0280,3,20240801,1918.0,1843.0,29.0,55622,53447,-2175
9,INV0143,13,20240524,3515.0,3221.0,49.0,172235,157829,-14406
10,INV0082,10,20240124,3059.0,3191.0,22.0,67298,70202,2904
11,INV0143,18,20240416,836.0,756.0,49.0,40964,37044,-3920
12,INV0173,14,20240331,618.0,412.0,25.0,15450,10300,-5150
13,INV0050,9,20240718,1670.0,1722.0,39.0,65130,67158,2028
14,INV0136,13,20240822,3505.0,3249.0,47.0,164735,152703,-12032
15,INV0236,7,20240904,2396.0,2223.0,25.0,59900,55575,-4325
16,INV0041,5,20240502,2461.0,2461.0,41.0,100901,100901,0
17,INV0186,2,20241006,2564.0,2460.0,46.0,117944,113160,-4784
18,INV0036,14,20240207,387.0,764.0,15.0,5805,11460,5655
19,INV0149,19,20241126,526.0,464.0,7.0,3682,3248,-434
20,INV0195,4,20240504,1338.0,1502.0,41.0,54858,61582,6724
21,INV0187,16,20241223,866.0,945.0,23.0,19918,21735,1817
22,INV0108,9,20240106,2945.0,2918.0,45.0,132525,131310,-1215
23,INV0037,19,20240129,2695.0,3045.0,11.0,29645,33495,3850
24,INV0274,7,20240705,3186.0,3136.0,11.0,35046,34496,-550
26,INV0286,13,20240728,1099.0,1500.0,21.0,23079,31500,8421
28,INV0206,8,20240322,1296.0,1063.0,14.0,18144,14882,-3262
29,INV0291,12,20241103,3789.0,4224.0,21.0,79569,88704,9135
30,INV0109,6,20240323,2884.0,3095.0,26.0,74984,80470,5486
31,INV0235,5,20241225,785.0,756.0,9.0,7065,6804,-261
32,INV0127,10,20240727,3251.0,3525.0,35.0,113785,123375,9590
33,INV0135,20,20240304,3259.0,3557.0,28.0,91252,99596,8344
34,INV0299,5,20241017,1835.0,1905.0,15.0,27525,28575,1050
35,INV0071,7,20240131,2287.0,2492.0,6.0,13722,14952,1230
36,INV0025,6,20240812,3727.0,3539.0,10.0,37270,35390,-1880
37,INV0082,3,20240512,3444.0,3840.0,28.0,96432,107520,11088
38,INV0033,14,20240925,1776.0,1866.0,39.0,69264,72774,3510
39,INV0240,5,20240609,2367.0,2324.0,36.0,85212,83664,-1548
40,INV0006,4,20241213,2986.0,3424.0,8.0,23888,27392,3504
42,INV0175,4,20240603,656.0,656.0,28.0,18368,18368,0
43,INV0081,16,20240223,2058.0,1761.0,47.0,96726,82767,-13959
44,INV0135,1,20240622,2250.0,2730.0,12.0,27000,32760,5760
45,INV0260,8,20240420,3938.0,3746.0,41.0,161458,153586,-7872
46,INV0153,12,20241002,3647.0,4001.0,33.0,120351,132033,11682
47,INV0102,18,20240816,826.0,908.0,49.0,40474,44492,4018
48,INV0083,7,20240506,2409.0,2906.0,34.0,81906,98804,16898
49,INV0001,16,20240412,2653.0,2684.0,32.0,84896,85888,992
50,INV0010,2,20241227,658.0,729.0,20.0,13160,14580,1420
51,INV0123,12,20240918,437.0,383.0,37.0,16169,14171,-1998
52,INV0041,15,20240528,550.0,999.0,32.0,17600,31968,14368
54,INV0065,3,20240511,725.0,1100.0,31.0,22475,34100,11625
55,INV0282,1,20240904,876.0,847.0,34.0,29784,28798,-986
56,INV0217,9,20240902,1067.0,1319.0,49.0,52283,64631,12348
57,INV0103,17,20240423,3120.0,3139.0,26.0,81120,81614,494
58,INV0192,11,20240513,1994.0,2223.0,29.0,57826,64467,6641
59,INV0062,1,20240218,1215.0,1145.0,5.0,6075,5725,-350
60,INV0174,6,20241224,286.0,588.0,36.0,10296,21168,10872
